Plant	Pod	Total_seedmass_g	Num_seeds	Avg_seedmass	Location	Aphids_at_start
31	6	1.537	230	0.006682609	WNC	Y
31	7	1.009	212	0.004759434	WNC	Y
32	1	1.874	244	0.007680328	WNC	Y
33	1	1.688	222	0.007603604	WNC	N
33	2	1.735	242	0.007169421	WNC	N
34	1	1.744	262	0.006656489	WNC	N
34	2	1.429	196	0.007290816	WNC	N
34	3	1.143	203	0.005630542	WNC	N
35	1	1.452	266	0.005458647	WNC	Y
35	2	1.542	257	0.006	WNC	Y
35	3	1.657	262	0.006324427	WNC	Y
35	4	1.274	251	0.005075697	WNC	Y
35	5	1.328	243	0.005465021	WNC	Y
36	1	1.334	202	0.00660396	WNC	N
36	2	1.563	220	0.007104545	WNC	N
37	1	1.898	245	0.007746939	WNC	N
37	2	1.597	221	0.007226244	WNC	N
38	1	1.404	227	0.006185022	WNC	N
38	2	1.796	231	0.007774892	WNC	N
38	3	1.656	249	0.006650602	WNC	N
38	4	1.437	238	0.006037815	WNC	N
39	1	1.593	235	0.006778723	WNC	N
39	2	1.648	228	0.00722807	WNC	N
39	3	1.177	206	0.005713592	WNC	N
39	4	1.462	230	0.006356522	WNC	N
40	1	1.687	249	0.0067751	WNC	Y
40	2	1.732	266	0.006511278	WNC	Y
41	1	1.6	217	0.007373272	WNC	N
41	2	1.649	234	0.007047009	WNC	N
41	3	1.53	225	0.0068	WNC	N
42	1	0.513	166	0.003090361	WNC	N
42	2	1.289	244	0.005282787	WNC	N
42	3	1.583	267	0.005928839	WNC	N
42	4	1.613	248	0.006504032	WNC	N
42	5	1.595	259	0.006158301	WNC	N
43	1	0.79	208	0.003798077	WNC	N
43	2	1.751	241	0.00726556	WNC	N
43	3	1.609	213	0.007553991	WNC	N
44	1	1.864	262	0.007114504	WNC	N
44	2	1.952	276	0.007072464	WNC	N
44	3	1.08	191	0.00565445	WNC	N
45	1	1.074	195	0.005507692	WNC	Y
45	2	1.197	213	0.005619718	WNC	Y
45	3	1.527	220	0.006940909	WNC	Y
45	4	1.094	190	0.005757895	WNC	Y
46	1	0.762	169	0.004508876	WNC	Y
47	1	1.255	230	0.005456522	WNC	N
47	2	0.922	174	0.005298851	WNC	N
47	3	1.499	221	0.006782805	WNC	N
47	4	1.535	233	0.006587983	WNC	N
48	1	1.315	252	0.005218254	WNC	N
48	2	1.102	211	0.005222749	WNC	N
48	3	1.067	204	0.005230392	WNC	N
49	1	1.226	228	0.005377193	WNC	N
49	2	0.807	192	0.004203125	WNC	N
49	3	0.93	113	0.008230088	WNC	N
50	1	0.701	163	0.004300613	WNC	N
50	2	1.47	252	0.005833333	WNC	N
50	3	1.503	220	0.006831818	WNC	N
50	4	1.677	241	0.006958506	WNC	N
51	1	1.443	266	0.005424812	WNC	Y
51	2	1.366	256	0.005335938	WNC	Y
51	3	1.581	249	0.006349398	WNC	Y
52	1	1.423	268	0.005309701	WNC	Y
52	2	1.668	254	0.006566929	WNC	Y
52	3	1.232	241	0.005112033	WNC	Y
52	4	1.19	251	0.004741036	WNC	Y
53	1	1.582	246	0.006430894	WNC	Y
53	2	1.524	228	0.006684211	WNC	Y
53	3	1.408	227	0.006202643	WNC	Y
53	4	1.312	222	0.00590991	WNC	Y
54	1	1.265	207	0.006111111	WNC	Y
54	2	1.069	163	0.006558282	WNC	Y
54	3	0.581	92	0.006315217	WNC	Y
55	1	1.065	263	0.00404943	WNC	Y
55	2	0.554	179	0.003094972	WNC	Y
56	1	0.716	247	0.002898785	WNC	Y
57	1	0.78	239	0.003263598	WNC	Y
57	2	0.672	193	0.003481865	WNC	Y
57	3	0.703	216	0.00325463	WNC	Y
58	1	0.621	197	0.003152284	WNC	N
58	2	1.413	284	0.004975352	WNC	N
59	1	1.731	334	0.005182635	WNC	Y
59	2	1.5	297	0.005050505	WNC	Y
59	3	1.491	295	0.005054237	WNC	Y
59	4	1.584	336	0.004714286	WNC	Y
60	1	1.088	190	0.005726316	WNC	Y
60	2	1.391	244	0.00570082	WNC	Y
60	3	1.499	223	0.006721973	WNC	Y
60	4	1.319	212	0.006221698	WNC	Y
60	5	1.277	208	0.006139423	WNC	Y
