Region	State	Location	Year	Month	Indiv	Height_cm	NumLeaves	NumInfl.	Pods_num	NumAphidsPods	Top	Middle	Bottom	NumCaterpillars	AvgAphidsPerLeaf	Total_aphids_leaves	Aphids_plant
East	PA	Cherry_Valley_B	2019	7	4	116	22	0	1	0	11	72	102	1	61.66666667	185	1356.666667
Midwest	MI	17	2018	9	5	150.4	16	0	12	94	7	20	22	0	16.33333333	49	1389.333333
Midwest	MI	23	2020	9	5	171	29	0	2	167	64	46	0	1	36.66666667	110	1397.333333
East	PA	Cherry_Valley_B	2019	7	3	183	41	0	5	0	14	11	82	0	35.66666667	107	1462.333333
East	PA	Cherry_Valley_B	2019	7	2	134	32	0	4	0	56	73	15	0	48	144	1536
East	PA	Cherry_Valley_B	2019	7	2	137	31	0	4	0	30	51	84	0	55	165	1705
Midwest	MI	17	2018	9	9	139.6	19	0	9	126	38	42	14	0	31.33333333	94	1729.333333
East	PA	Cherry_Valley_B	2019	7	3	140	45	0	5	0	12	28	82	0	40.66666667	122	1830
East	PA	Cherry_Valley_B	2019	7	1	135	55	0	1	0	4	54	56	0	38	114	2090
East	PA	Cherry_Valley_B	2019	7	3	136	41	0	5	0	32	30	118	0	60	180	2460
East	PA	Cherry_Valley_B	2019	7	1	178	60	0	1	0	118	49	40	0	69	207	4140
East	PA	Cherry_Valley_B	2019	7	1	179	66	0	1	0	96	69	91	0	85.33333333	256	5632
